link,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
https://www.cinematheque.fr/henri/film/48361-la-chute-de-la-maison-usher-jean-epstein-1928/,La Chute de la maison Usher,Epstein,1928,"Perhaps the best known film by Epstein, La Chute de la maison Usher tells the story of Usher through his friend, an unknown narrator. The film is an adaptation of two short stories by Poe.  The film was shot in three different locations: the interior in Studios Éclair and Menchen in Épinay-sur-Seine near Paris; the exteriors in Sologne (with the river Sologne) and Vexin (a historical region in northern France).  ",French impressionism; photogénie; early cinema,"Sologne, France",46.67873042,2.697027836,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=fCWPQnFuvYE,Maldone,Gremillon,1928,"Maldone is a story about a man who runs away from his estate, becomes a canal worker, and finds love, only to be called back home and marry a different woman. The film notes the waterway as the Briare Canal and its Saint-Jean lock (which does not exist; most similar is Saint Joseph lock). ",French impressionism; early cinema; ,"Briare Canal, Bourgogne-Franche-Comté,, France",47.74042427,2.870665319,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://archive.org/details/il-ponte-1928-joris-ivens,The Bridge,Ivens,1928,"This experimental documentary short is a montage of close-ups of the then-newly built Koningshaven Bridge (Koninginnebrug / ""De Hef"") in Rotterdam and the trains and ships that pass by it, in the backdrop of which is seen the port of Rotterdam. ",experimental; documentary,"Rotterdam, the Netherlands",51.91294699,4.498389773,,,Image;MovingImage,video/mp4,silent,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=n9QPfiLuQ9c,Steamboat Bill Jr.,Keaton and Reisner,1928,"Buster Keaton plays Bill Canfield Jr., or Steamboat Jr.: an awkward and eccentric son of Bill Canfield who owns a paddle steamer and is slowly losing business to a newer steamer. The film follows Bill Jr.'s visit home that is filled with mishaps but eventually helps his father and his business. The film is set to be in River Junction, MS, while Bill Jr., is based in Boston. The film production took place on a set in Sacramento; John Bengtson of silentlocations.com, crediting historian Paul Frobose, provides some shot-by-shot comparisons between map coordinates and the landmarks identified in the film (https://silentlocations.com/2011/04/18/buster-keaton-steamboat-bill-jr-locations/). Also see Jennifer Fay's discussion of the production process in The Inhospitable Planet. ","comedy, early cinema, Keaton, cyclone","Sacramento, USA",38.59803211,-121.5084873,,,Image;MovingImage,video/mp4,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://i.imgur.com/6fZUNSl.jpeg,Sea Urchins,Painlevé,1929,A close-up look at sea urchins. ,"experimental; documentary, animal","Montparnasse, Paris, France",48.84226705,2.317341527,,,Image;StillImage,image/jpeg,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.gaumont.com/sites/com/files/styles/max_height_710/public/2023-03/2022-05-16_vlcsnap-2019-06-05-16h58m35s186.png.webp?itok=f8QgvfFP,Finis Terrae,Epstein,1929,"Finis Terrae marks the beginning of Epstein's repeated visits to Brittany. The film tells the simple story of two young kelp farmers on the islet of Bannec, near Ouessant.",French impressionism; photogénie; early cinema,"Bannec, Brittany, France",48.42767085,-5.012164425,https://www.gaumont.com/en/movie/finis-terrae,,Image;StillImage,image/jpeg,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.gaumont.com/sites/com/files/styles/max_height_710/public/2023-03/2022-05-16_vlcsnap-2019-06-05-16h58m35s186.png.webp?itok=f8QgvfFP,Finis Terrae,Epstein,1929,"Finis Terrae marks the beginning of Epstein's repeated visits to Brittany. The film tells the simple story of two young kelp farmers on the islet of Bannec, near Ouessant. ",French impressionism; photogénie; early cinema,"Ouessant, Brittany, France",48.46077326,-5.091750978,https://www.gaumont.com/en/movie/finis-terrae,,Image;StillImage,image/jpeg,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://i.imgur.com/Gx3o8UY.png,Rain,Ivens,1929,"Regan is an experimental documentary that shows the city of Amsterdam before, during, and after a rainfall. The premiere of the film was held in De Ulitkijk, the theater of the Amsterdam Filmliga (now a hotel). ",Documentary; city symphony; experimental,"Amsterdam, Netherlands",52.38214084,6.440873913,,,Image;StillImage,image/jpeg,dutch,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.youtube.com/watch?v=f_DiZ4R9ZxI,H2O,Steiner,1929,"H2O is a cine-poem that shows water in its many different forms, made by photographer Ralph Steiner. ",Documentary; experimental; photography,USA,,,"National Film Registry (Library of Congress), https://www.loc.gov/item/2023600533/",2023600533,Image;MovingImage,video/mp4,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
https://www.cinematheque.fr/henri/film/54212-mor-vran-jean-epstein-1930/,Mor'Vran,Epstein,1931,"Subtitled ""La Mer des corbeaux"" (sea of crows), Mor'Vran is part documentary, part fiction film that portrays the many faces of life on the islands of Sein and Brest by loosely following a sailor (and his misfortunes). ",Documentary; French impressionism; ,"Ile de Sein, Brittany, France",48.04445741,-4.865491823,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",,Image;MovingImage,video/mp4,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=tunZkzHaCYg,Labor on the Douro River,Oliveira,1931,"A short documentary about the laborers working in the city of Porto, around the river Douro. ",Documentary,"Porto, Portugal","41.14256865841956, -8.623006248273285",,,,,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
